"",0
"audusd important th",1
"bp audusd important",1
"important th beer",1
"th beer cold",1
"world bp audusd",1
"anka audusd rise",1
"audusd pivot level",1
"audusd rise correction",1
"correction finishes audusd",1
"finishes audusd pivot",1
"pivot level parity",1
"rise correction finishes",1
"coincides high unfolding",1
"audusd candle turned",1
"chasing audusd candle",1
"talking chasing audusd",1
"trendline talking chasing",1
"audusd test support",1
"bullish trend lines",1
"lines free daily",1
"support bullish trend",1
"test support bullish",1
"trend lines free",1
"audusd drop rock",1
"cb buying august",1
"drop rock undisciplined",1
"rock undisciplined cb",1
"undisciplined cb buying",1
"audusd continues spy",1
"bearish daily dominating",1
"daily dominating bearish",1
"dominating bearish warning",1
"warning audusd continues",1
"stopped audusd pip",1
"audusd scalps target",1
"imo audusd vulnerable",1
"audusd sees hr",1
"figure supportive term",1
"hr sma figure",1
"sees hr sma",1
"sma figure supportive",1
"supportive term imo",1
"aud fall sharp",1
"audusd equities risk",1
"causation high correlation",1
"changed aud fall",1
"correlation audusd equities",1
"equities risk interest",1
"exp changed aud",1
"high correlation audusd",1
"interest rate exp",1
"rate exp changed",1
"risk interest rate",1
"audusd past yr",1
"correlations w djia",1
"def wrong w",1
"djia perfect sudden",1
"past yr correlations",1
"perfect sudden divergence",1
"w audusd past",1
"w djia perfect",1
"wrong w audusd",1
"yr correlations w",1
"eurusd paid audusd",1
"paid audusd entry",1
"video eurusd paid",1
"audusd break tiny",1
"break tiny chop",1
"chop range gbpusd",1
"gbpusd break rang",1
"range gbpusd break",1
"similiar audusd break",1
"tiny chop range",1
"audusd break death",1
"break death consolidation",1
"death consolidation range",1
"waiting audusd break",1
"audusd h bar",1
"bar trendline big",1
"chasing sharp audusd",1
"h bar trendline",1
"sharp audusd h",1
"t chasing sharp",1
"trendline big sell",1
"wasn t chasing",1
"pip stop gonna",1
"stop gonna target",1
"breakeven stops euraud",1
"euraud long pips",1
"eurusd short breakeven",1
"pips eurusd short",1
"short breakeven stops",1
"short pips eurusd",1
"stops euraud long",1
"audusd entry coming",1
"coming log chat",1
"entry coming log",1
"big red hr",1
"candle audusd week",1
"red hr candle",1
"week pivot view",1
"audusd nzdusd ibc",1
"comments eurusd usdx",1
"eurusd usdx gbpusd",1
"nzdusd ibc mac",1
"updated comments eurusd",1
"usdx gbpusd audusd",1
"audusd m lotta",1
"effort lil gain",1
"lil gain walkin",1
"lotta mix effort",1
"m lotta mix",1
"mix effort lil",1
"audusd break eurjpy",1
"break eurjpy tested",1
"eurjpy tested sma",1
"eurusd holding gbpusd",1
"gbpusd sma daily",1
"holding gbpusd sma",1
"hr eurusd holding",1
"sma hr eurusd",1
"tested sma hr",1
"audusd wait break",1
"break pullback short",1
"data late sell",1
"sales data late",1
"sell audusd wait",1
"wait break pullback",1
"aud copy mov",1
"audjpy short nzd",1
"audusd audjpy short",1
"building aud short",1
"exposure euraud long",1
"long audusd audjpy",1
"nzd shows aud",1
"short nzd shows",1
"shows aud copy",1
"audusd dji xauusd",1
"beginning crazy shortmania",1
"dji xauusd beginning",1
"eurusd audusd dji",1
"xauusd beginning crazy",1
"audusd completely reversed",1
"completely reversed moves",1
"consecutive days audusd",1
"days audusd completely",1
"moves sydney session",1
"reversed moves sydney",1
"audusd obvious setup",1
"days movement audusd",1
"move eurusd neutral",1
"movement audusd obvious",1
"obvious setup preparing",1
"preparing violent move",1
"setup preparing violent",1
"violent move eurusd",1
"audusd sitting hr",1
"hr t candle",1
"sitting hr t",1
"audusd nzdusd sold",1
"euro buying jpm",1
"long euro buying",1
"nzdusd sold long",1
"sold long euro",1
"audusd china electricity",1
"china electricity output",1
"short audusd rally",1
"audusd starting play",1
"starting play catch",1
"audusd stops limit",1
"buying audusd stops",1
"eurusd gold lockin",1
"gold lockin profit",1
"limit weekly rally",1
"lockin profit pips",1
"profit pips trad",1
"rally eurusd gold",1
"stops limit weekly",1
"weekly rally eurusd",1
"euraud long morning",1
"long morning pips",1
"morning pips audusd",1
"pips euraud long",1
"audusd trades establi",1
"aud selling board",1
"audusd audcad audchf",1
"board vol distribution",1
"distribution audusd audcad",1
"selling board vol",1
"vol distribution audusd",1
"established rising c",1
"level audusd trades",1
"trades established rising",1
"dickhead audusd biased",1
"level audusd t",1
"r u dickhead",1
"u dickhead audusd",1
"long entry beauti",1
"audusd pips break",1
"break stop place",1
"pips break stop",1
"audusd m caught",1
"caught cycles decline",1
"cycles decline flat",1
"decline flat pips",1
"m caught cycles",1
"audusd sell close",1
"buy webinar hit",1
"eurusd buy webinar",1
"hit sl audusd",1
"sell close target",1
"sl audusd sell",1
"audusd breaking support",1
"big risk selloff",1
"concerns audusd breaking",1
"risk selloff concerns",1
"selloff concerns audusd",1
"audusd testing fib",1
"break range audusd",1
"range audusd testing",1
"audusd strengthens spy",1
"bearish daily dominates",1
"daily dominates bearish",1
"dominates bearish warning",1
"warning audusd strengthens",1
"buy mfa audusd",1
"closed buy mfa",1
"mfa audusd pips",1
"decline half hour",1
"equity decline half",1
"eurusd hasn t",1
"half hour audusd",1
"hasn t moved",1
"hour audusd lod",1
"moved equity decline",1
"t moved equity",1
"audusd short exited",1
"aus ratings good",1
"btw ep food",1
"exited mon tues",1
"good call audusd",1
"mon tues btw",1
"ratings good call",1
"rba aus ratings",1
"short exited mon",1
"tues btw ep",1
"audusd shorts tweets",1
"current short position",1
"hidden weakness targeting",1
"shorts tweets show",1
"show hidden weakness",1
"targeting current short",1
"tweets show hidden",1
"weakness targeting current",1
"audusd turned weak",1
"bearish final trigger",1
"final trigger push",1
"push spy oversold",1
"suddenly audusd turned",1
"trigger push spy",1
"turned weak bearish",1
"weak bearish final",1
"audusd clears eurusd",1
"clears eurusd tests",1
"euraud audusd clears",1
"long euraud audusd",1
"safer long euraud",1
"audusd nearing fomc",1
"decision front neat",1
"fomc line decision",1
"line decision front",1
"nearing fomc line",1
"neat audusd nearing",1
"whooosh audusd nzdusd",1
"t risk aversion",1
"wouldn t risk",1
"coincides high book",1
"eclipse visible australia",1
"visible australia coincides",1
"entry post fomc",1
"fomc usd xauusd",1
"post fomc usd",1
"profit tempting entry",1
"stops profit tempting",1
"tempting entry post",1
"trades stops profit",1
"usd xauusd audusd",1
"audusd horrible past",1
"horrible past months",1
"months sea chop",1
"past months sea",1
"members morning audusd",1
"audusd quick reaction",1
"quick reaction reserve",1
"reaction reserve bail",1
"reserve bail fast",1
"fxstreetnews audusd collapses",1
"keeping tight position",1
"long audusd keeping",1
"position stops low",1
"tight position stops",1
"breakeven stop head",1
"closed half audusd",1
"half breakeven stop",1
"leaving half breakeven",1
"pips leaving half",1
"short pips leaving",1
"stop head lower",1
"audusd bearish minimum",1
"bullish h system",1
"euraud bullish h",1
"h system audusd",1
"system audusd bearish",1
"faces test agre",1
"eyes level expert",1
"level expert community",1
"audchf recently back",1
"audusd nzdcad shorts",1
"nzdcad shorts audchf",1
"recently back favor",1
"shorts audchf recently",1
"crush negative pips",1
"negative pips audusd",1
"nice crush negative",1
"pips audusd just",1
"audusd lb e",1
"e ideally profit",1
"ideally profit targetrr",1
"lb e ideally",1
"profit targetrr just",1
"targetrr just stop",1
"sitting pips audusd",1
"audusd support kiwi",1
"audusd weekly bearish",1
"weekly bearish divergence",1
"archive webinar bout",1
"bout sound issue",1
"issue mins eurusd",1
"mins eurusd audusd",1
"sound issue mins",1
"webinar bout sound",1
"anticipating minor trend",1
"audusd anticipating minor",1
"minor trend sequence",1
"trend sequence reverse",1
"short tp tp",1
"tp tp audusd",1
"audusd daily finding",1
"daily finding support",1
"finding support top",1
"support top cloud",1
"audusd falling knife",1
"catch pair setting",1
"falling knife catch",1
"knife catch pair",1
"pair setting nice",1
"setting nice short",1
"term bullish play",1
"add soft support",1
"scalp update add",1
"soft support target",1
"support target textbook",1
"target textbook plays",1
"update add soft",1
"audusd risk currencies",1
"currencies rising minut",1
"eurusd audusd risk",1
"risk currencies rising",1
"audusd sl webinar",1
"moving audusd sl",1
"sl webinar target",1
"post scalp prospects",1
"audusd shorts avg",1
"avg audjpy shorts",1
"avg audusd shorts",1
"euraud longs avg",1
"inventory euraud longs",1
"longs avg audusd",1
"make quick inventory",1
"quick inventory euraud",1
"shorts avg audjpy",1
"audcad scalps playdailyfxi",1
"dailyfx audusd audcad",1
"play dailyfx audusd",1
"scalps play dailyfx",1
"scalps playdailyfxi aggressively",1
"check audusd holding",1
"pivot resistance support",1
"week pivot resistance",1
"anytime audusd aims",1
"bearish book anytime",1
"book anytime audusd",1
"eurusd bearish book",1
"spike eurusd bearish",1
"audusd pips short",1
"closed nzdcad audusd",1
"nzdcad audusd pips",1
"pips short audchf",1
"audusd falls line",1
"builds momentum audusd",1
"expected risk trend",1
"falls line tentatively",1
"line tentatively breaking",1
"momentum audusd falls",1
"risk trend builds",1
"tentatively breaking channel",1
"trend builds momentum",1
"eurusd long holding",1
"pips audusd long",1
"bad market spy",1
"constructive bad market",1
"market spy audusd",1
"obama presse reasonable",1
"presse reasonable constructive",1
"reasonable constructive bad",1
"spy audusd csco",1
"audusd neckline ext",1
"audusd setup tbh",1
"ext short fav",1
"fav audusd setup",1
"neckline ext short",1
"short fav audusd",1
"audusd eurjpy orders",1
"eurjpy orders coming",1
"eurusd order chat",1
"audusd djia es",1
"djia es f",1
"es f lod",1
"leg lower audusd",1
"lower audusd djia",1
"risk taking leg",1
"taking leg lower",1
"ass dax nzdusd",1
"dax nzdusd audusd",1
"move ass dax",1
"d didn t",1
"feed good job",1
"good audusd entry",1
"good job d",1
"high feed good",1
"job d didn",1
"pips high feed",1
"t good audusd",1
"audusd lod audcad",1
"calls audusd eurusd",1
"gym time holding",1
"holding msft calls",1
"msft calls audusd",1
"time holding msft",1
"audusd hitting pending",1
"close audusd hitting",1
"hitting pending pips",1
"noticing close audusd",1
"audusd shorts monthly",1
"shorts monthly low",1
"test audusd shorts",1
"audusd pos coz",1
"battery closed earlier",1
"coz target hit",1
"due work low",1
"hit due work",1
"low battery closed",1
"pos coz target",1
"target hit due",1
"work low battery",1
"bounce long asia",1
"long asia audusd",1
"combined audusd eurusd",1
"es f snapped",1
"f snapped pips",1
"lvls es f",1
"pips combined audusd",1
"snapped pips combined",1
"audusd eurusd puke",1
"eurusd puke eod",1
"hearing intraday players",1
"intraday players long",1
"players long audusd",1
"insight thursday plan",1
"keane insight thursday",1
"plan gbpusd audusd",1
"thursday plan gbpusd",1
"closing audusd p",1
"interesting closing audusd",1
"audusd bottom rising",1
"bottom rising trendline",1
"breached thou tempting",1
"early oct breached",1
"oct breached thou",1
"rising trendline early",1
"tempting short tp",1
"thou tempting short",1
"trendline early oct",1
"audusd gbpusd expected",1
"completely wrong viewpoint",1
"expected highs lose",1
"gbpusd expected highs",1
"highs lose dime",1
"lose dime made",1
"style completely wrong",1
"viewpoint audusd gbpusd",1
"wrong viewpoint audusd",1
"coincides high manifested",1
"interesting move overnight",1
"moving target turning",1
"sell webinar moving",1
"target turning sl",1
"turning sl pip",1
"webinar moving target",1
"audusd pending eurusd",1
"coz audusd pending",1
"good night sleep",1
"hours coz audusd",1
"mate good night",1
"night sleep hours",1
"pending eurusd po",1
"sleep hours coz",1
"audusd showing potential",1
"potential top revers",1
"showing potential top",1
"interesting move overnig",1
"audusd pending triggered",1
"confident tight sl",1
"pending triggered scalp",1
"scalp confident tight",1
"triggered scalp confident",1
"area major target",1
"major target trg",1
"target trg bearish",1
"trg bearish form",1
"audusd big confluence",1
"big confluence level",1
"cluster confirmation shoulder",1
"coming oct rising",1
"confluence level coming",1
"fib sma cluster",1
"level coming oct",1
"oct rising tl",1
"rising tl fib",1
"sma cluster confirmation",1
"tl fib sma",1
"audusd support target",1
"deal audusd support",1
"focus turns key",1
"support target focus",1
"target focus turns",1
"turns key support",1
"audusd small long",1
"balance long xxxaud",1
"fairly tight stop",1
"filled audusd small",1
"helps balance long",1
"long support fairly",1
"long xxxaud pair",1
"small long support",1
"stop helps balance",1
"support fairly tight",1
"tight stop helps",1
"signalfactory close tp",1
"audusd eliminated side",1
"eliminated side order",1
"order contrary popular",1
"order order contrary",1
"side order order",1
"audusd case scalp",1
"sl audusd case",1
"add daily close",1
"audusd im sell",1
"bears arrived gear",1
"close sma statement",1
"daily close sma",1
"im sell position",1
"position add daily",1
"recap audusd im",1
"sell position add",1
"sma statement bears",1
"statement bears arrived",1
"audusd stubborn currency",1
"bears control expected",1
"channel held strong",1
"choppiness week channel",1
"currency huh choppiness",1
"held strong bears",1
"huh choppiness week",1
"recap audusd stubborn",1
"strong bears control",1
"stubborn currency huh",1
"week channel held",1
"check fxa fxa",1
"fxa aud usd",1
"fxa fxa aud",1
"a f tagging",1
"f tagging nd",1
"held level audusd",1
"nd support open",1
"open held level",1
"support open held",1
"tagging nd support",1
"target audusd pair",1
"aud follow audusd",1
"australia fundamentals continue",1
"continue weaken aud",1
"fundamentals continue weaken",1
"weaken aud follow",1
"audusd profitable pair",1
"im swing trader",1
"leave trades overnight",1
"overnight audusd profitable",1
"swing trader leave",1
"trader leave trades",1
"trades overnight audusd",1
"breaking upside audusd",1
"fx setups usdjpy",1
"setups usdjpy breaking",1
"upside audusd holding",1
"usdjpy breaking upside",1
"history barcelona aus",1
"support history barcelona",1
"audusd nzdusd lead",1
"coiling tighter wednesday",1
"eurusd coiling tighter",1
"interesting markets audusd",1
"markets audusd nzdusd",1
"nzdusd lead pack",1
"tighter wednesday interesting",1
"wednesday interesting markets",1
"audusd hitting support",1
"audusd head lower",1
"audusd short wake",1
"ll audusd short",1
"short wake parity",1
"ve ll audusd",1
"audusd short sporting",1
"environment makes suspicious",1
"joined audusd short",1
"risk environment makes",1
"short sporting wider",1
"size risk environment",1
"smaller size risk",1
"sporting wider stop",1
"stop smaller size",1
"wider stop smaller",1
"profitable pair audusd",1
"focus audusd tonight",1
"fx uk session",1
"notes focus audusd",1
"session notes focus",1
"traders fx uk",1
"uk session notes",1
"audnzd long audusd",1
"bounce audusd sell",1
"concerned equity futures",1
"equity futures bounce",1
"futures bounce audusd",1
"join concerned equity",1
"fxstreetnews audusd stalls",1
"add shorts eurusd",1
"reenter add shorts",1
"head shoulders larger",1
"larger wedge pattern",1
"shoulders larger wedge",1
"wedge pattern audusd",1
"analysis head shoulders",1
"head shoulders audusd",1
"pattern tech analysis",1
"tech analysis head",1
"retrace buy audusd",1
"a f c",1
"action tonight good",1
"c f nice",1
"f c f",1
"f nice action",1
"good upside room",1
"nice action tonight",1
"resistance cadusd audusd",1
"respective resistance cadusd",1
"room run respective",1
"run respective resistance",1
"tonight good upside",1
"upside room run",1
"alexp long trend",1
"audusd alexp long",1
"long trend starts",1
"trend starts aussie",1
"audusd th position",1
"th position x",1
"audusd pips pipsle",1
"pegu al perro",1
"pips pipsle pegu",1
"pipsle pegu al",1
"doesn t easily",1
"cliff fears middle",1
"east tensions spark",1
"fears middle east",1
"fiscal cliff fears",1
"market sell audusd",1
"middle east tensions",1
"spark market sell",1
"tensions spark market",1
"expect upside audusd",1
"t expect upside",1
"didn t audusd",1
"moment position morning",1
"morning tired didn",1
"position morning tired",1
"tired didn t",1
"audusd struggle lol",1
"charge audusd struggle",1
"ltf charge audusd",1
"retracement ltf charge",1
"aud usd hit",1
"support history audusd",1
"usd hit ruthless",1
"money buying audusd",1
"fxstreetnews audusd hit",1
"audusd invisible hand",1
"guarding life lunch",1
"hand guarding life",1
"invisible hand guarding",1
"life lunch sign",1
"min pip range",1
"range audusd invisible",1
"audusd th week",1
"buying interest stalling",1
"interest stalling leaving",1
"row buying interest",1
"sentiment bearish level",1
"stalling leaving sentiment",1
"week row buying",1
"audusd dropped yesterday",1
"close ideal corrective",1
"corrective target fib",1
"dropped yesterday holding",1
"holding peak close",1
"ideal corrective target",1
"peak close ideal",1
"yesterday holding peak",1
"lovely audusd good",1
"morning lovely audusd",1
"audusd poursuit sa",1
"poursuit sa baisse",1
"audusd daily hour",1
"bearish selling breakout",1
"breakout london open",1
"daily hour market",1
"flow momentum bearish",1
"hour market flow",1
"london open range",1
"market flow momentum",1
"momentum bearish selling",1
"selling breakout london",1
"drops november action",1
"november action audusd",1
"audusd fly matter",1
"dont worry audusd",1
"fly matter time",1
"worry audusd fly",1
"bearish daily continues",1
"continues audusd bearish",1
"continues dominate h",1
"daily continues dominate",1
"dominate h formation",1
"formation continues audusd",1
"h formation continues",1
"drops november audusd",1
"forexcom audusd responded",1
"audusd dealers highlight",1
"dealers highlight mln",1
"highlight mln ox",1
"mln ox roll",1
"nov ny cut",1
"ox roll weds",1
"roll weds nov",1
"weds nov ny",1
"audusd gbpusd saved",1
"demanding yesterday expecting",1
"entry quick responses",1
"expecting reactions audusd",1
"gbpusd saved entry",1
"quick responses good",1
"reactions audusd gbpusd",1
"responses good luck",1
"saved entry quick",1
"tiring demanding yesterday",1
"yesterday expecting reactions",1
"audusd moved tears",1
"moved tears xi",1
"tears xi jinping",1
"audusd moved xi",1
"moved xi jinping",1
"profit audusd shorts",1
"audusd good trending",1
"euro lol audusd",1
"good trending pair",1
"lol audusd good",1
"trending pair learn",1
"audusd moving cl",1
"longs progress audusd",1
"model waiting usd",1
"progress audusd moving",1
"snagger update model",1
"update model waiting",1
"usd longs progress",1
"waiting usd longs",1
"audusd clears end",1
"chances great audusd",1
"clears end usd",1
"end usd run",1
"great audusd clears",1
"multi usd correction",1
"run multi usd",1
"usd correction eurusd",1
"usd run multi",1
"audusd ish letting",1
"ish letting run",1
"letting run parity",1
"run parity tbh",1
"taking audusd ish",1
"audusd shorts expecting",1
"hedged audusd shorts",1
"partially hedged audusd",1
"shorts expecting rebound",1
"audusd folks time",1
"back open gl",1
"dax audusd folks",1
"folks time gym",1
"gl send tweet",1
"open gl send",1
"send tweet dax",1
"tweet dax audusd",1
"deal dax audusd",1
"man wats deal",1
"morning man wats",1
"wats deal dax",1
"break close ideal",1
"close ideal move",1
"deal audusd fxa",1
"ideal move real",1
"move real deal",1
"yesterday break close",1
"d ext short",1
"ext short h",1
"fails audusd d",1
"h neckline fails",1
"neckline fails audusd",1
"short h neckline",1
"ty d ext",1
"assume audusd audjpy",1
"audjpy dictated jpy",1
"audjpy movement audjpy",1
"audusd audjpy movement",1
"dictated jpy jpy",1
"jpy jpy weak",1
"jpy weak usdjpi",1
"movement audjpy dictated",1
"aussie breaking trend",1
"back october yesterday",1
"close isn t",1
"ideal audusd fxa",1
"isn t ideal",1
"line back october",1
"october yesterday close",1
"t ideal audusd",1
"trend line back",1
"yesterday close isn",1
"audusd testing nov",1
"low vol remains",1
"nov low vol",1
"testing nov low",1
"vol remains distribut",1
"audusd completes retracement",1
"close accelerate movement",1
"completes retracement wrmb",1
"retracement wrmb close",1
"wrmb close accelerate",1
"au market audusd",1
"audusd breaks dive",1
"breaks dive market",1
"dive market recovers",1
"market audusd breaks",1
"market recovers aud",1
"recovers aud settl",1
"understand au market",1
"add short nzdusd",1
"audusd pips pos",1
"long pips pos",1
"po size usdcad",1
"pos size ready",1
"pos size short",1
"ready add short",1
"short nzdusd pips",1
"size ready add",1
"size short audusd",1
"size usdcad long",1
"usdcad long pips",1
"audusd stops b",1
"pips trail audusd",1
"trail audusd stops",1
"audcad audpln auddkk",1
"auddkk audusd daily",1
"audpln auddkk audusd",1
"audusd daily rising",1
"continue audcad audpln",1
"daily downlegs continue",1
"downlegs continue audcad",1
"rising wedge confirm",1
"audusd close impt",1
"close impt determine",1
"d bearishness continue",1
"determine tl trigger",1
"impt determine tl",1
"tl trigger d",1
"trigger d bearishness",1
"scalp update interim",1
"update interim res",1
"bottom limit break",1
"break targets monthly",1
"limit break targets",1
"monthly pivot ext",1
"scalp update testing",1
"targets monthly pivot",1
"testing bottom limit",1
"update testing bottom",1
"audusd daily triggered",1
"daily triggered limits",1
"limits primary objective",1
"objective retrce term",1
"primary objective retrce",1
"retrce term res",1
"triggered limits primary",1
"problem u short",1
"swap problem u",1
"u short audusd",1
"audusd d beob",1
"beob price heads",1
"bulish sfp price",1
"d beob price",1
"d bulish sfp",1
"heads nzdusd d",1
"nzdusd d bulish",1
"price heads nzdusd",1
"price heads surprises",1
"sfp price heads",1
"audcad setups highlighted",1
"audusd audcad setups",1
"detail week scalp",1
"highlighted detail week",1
"setups highlighted detail",1
"week scalp report",1
"trailing audusd short",1
"coming audusd short",1
"euraud nearing resistence",1
"nearing resistence zon",1
"reason coming audusd",1
"short euraud nearing",1
"support break exposes",1
"audusd succumb pressure",1
"succumb pressure drop",1
"daily ema daily",1
"ema daily s",1
"month pivot daily",1
"pips target month",1
"pivot daily ema",1
"target month pivot",1
"audusd good intraday",1
"daily s structur",1
"good intraday weekly",1
"intraday weekly s",1
"s daily s",1
"weekly s daily",1
"audusd usdjpy move",1
"aussie yen devalued",1
"bad missed audusd",1
"devalued coming week",1
"missed audusd usdjpy",1
"move aussie yen",1
"usdjpy move aussie",1
"yen devalued coming",1
"audusd yesterday update",1
"expect test neckline",1
"t expect test",1
"update wouldn t",1
"yesterday update wouldn",1
"audusd change current",1
"change current direction",1
"audusd out quicker",1
"out quicker reaction",1
"fxstreetreports audusd slides",1
"audusd november low",1
"november low focus",1
"count update multiple",1
"multiple time frames",1
"update multiple time",1
"wave count update",1
"audusd close eurusd",1
"buyer audusd close",1
"close eurusd ready",1
"eurusd ready explode",1
"heavy buyer audusd",1
"analysis ideas helped",1
"audusd dxy eurusd",1
"dxy eurusd hope",1
"eurusd hope analysis",1
"helped week tweet",1
"hope analysis ideas",1
"ideas helped week",1
"week tweet dal",1
"audusd pooped pants",1
"pants term wouldn",1
"pooped pants term",1
"term wouldn t",1
"audusd hits fib",1
"fib target posted",1
"hits fib target",1
"target posted yesterday",1
"bought audusd trad",1
"flying audusd di",1
"usdjpy flying audusd",1
"audusd st time",1
"long audusd st",1
"ssi update shift",1
"st time months",1
"update shift key",1
"ssi update coming",1
"update coming shortly",1
"audusd nice short",1
"bounce shortly yesterday",1
"call continued downward",1
"continued downward decent",1
"short term bounce",1
"shortly yesterday call",1
"term bounce shortly",1
"yesterday call continued",1
"apparent war currency",1
"audusd pretty apparent",1
"currency war country",1
"pretty apparent war",1
"usdjpy audusd pretty",1
"war country devalu",1
"war currency war",1
"audusd fallen weekly",1
"fallen weekly s",1
"hour rsi oversold",1
"monthly pivot rsi",1
"oversold hour rsi",1
"pivot rsi oversold",1
"rsi oversold hour",1
"s monthly pivot",1
"weekly s monthly",1
"hold audusd long",1
"audusd o riesgo",1
"en audusd o",1
"en en audusd",1
"mover stop en",1
"stop en en",1
"changing sl pip",1
"dropping moving target",1
"moving target changing",1
"sell webinar dropping",1
"target changing sl",1
"webinar dropping moving",1
"audusd bounce diving",1
"fxtyrant aud usd",1
"usd audusd bounce",1
"contrarian audusd sel",1
"months contrarian audusd",1
"time months contrarian",1
"audusd call yeterday",1
"call yeterday lot",1
"helped audusd call",1
"audusd bearish strengthens",1
"bearish strengthens daily",1
"rising wedge spy",1
"strengthens daily rising",1
"wedge spy es",1
"audusd mid s",1
"mid s yankdown",1
"posted audusd mid",1
"s yankdown suppt",1
"suppt risk extrem",1
"yankdown suppt risk",1
"session lows audusd",1
"usd session lows",1
"audusd targeting completes",1
"timeframe h target",1
"update timeframe h",1
"audusd fall price",1
"fall price stretched",1
"gotta profit choo",1
"price stretched gotta",1
"profit choo choo",1
"stretched gotta profit",1
"anticipated journey parity",1
"audusd heavy vol",1
"beginning anticipated journey",1
"distribution hmm beginning",1
"hmm beginning anticipated",1
"vol distribution hmm",1
"audusd gbpusd experienced",1
"audusd taking ot",1
"audusd unfortunatelly eurjpi",1
"perfect prediction audusd",1
"prediction audusd unfortunatelly",1
"buy pair stop",1
"entry writed enjoy",1
"pair stop entry",1
"stop entry writed",1
"writed enjoy audusd",1
"back real trend",1
"counter trend moves",1
"faded back real",1
"moves faded back",1
"real trend daily",1
"sharp counter trend",1
"stand usual sharp",1
"trend daily audusd",1
"trend moves faded",1
"usual sharp counter",1
"fill audusd coughing",1
"audusd reduced euraud",1
"bought spx morning",1
"covered audusd reduced",1
"euraud turned usdcad",1
"morning covered audusd",1
"reduced euraud turned",1
"short risk bump",1
"spx morning covered",1
"turned usdcad short",1
"usdcad short risk",1
"audusd eurcad short",1
"eurcad short eurusd",1
"eurusd riskless ish",1
"ish risk pips",1
"long audusd eurcad",1
"riskless ish risk",1
"short eurusd riskless",1
"audusd straight upp",1
"faster nice call",1
"pips faster nice",1
"straight upp pips",1
"upp pips faster",1
"hit pips gain",1
"sell webinar hit",1
"stop audusd sell",1
"trailing stop audusd",1
"webinar hit pips",1
"long stop target",1
"taking small audusd",1
"audusd pips feeling",1
"break small short",1
"closing audusd pips",1
"feeling break small",1
"pips feeling break",1
"big reversal target",1
"dive audusd big",1
"final dive audusd",1
"reversal target zon",1
"agricole quant model",1
"audusd increasingly overbought",1
"dit agricole quant",1
"increasingly overbought t",1
"overbought t cr",1
"t cr dit",1
"audusd cut good",1
"cut good luck",1
"eurusd long pips",1
"good luck everyon",1
"holding audusd cut",1
"long pips holding",1
"long pips type",1
"pips holding audusd",1
"pips type eurusd",1
"type eurusd long",1
"hairy remember audusd",1
"audusd eurusd continues",1
"climb euraud catalyst",1
"continues climb euraud",1
"eurusd continues climb",1
"pressure audusd eurusd",1
"audusd fooled good",1
"fooled good wondering",1
"good wondering reshorting",1
"wondering reshorting exited",1
"audusd gave answer",1
"freaked night twitter",1
"fx guy freaked",1
"gave answer repli",1
"guy freaked night",1
"night twitter audusd",1
"popular fx guy",1
"twitter audusd gave",1
"gold short audusd",1
"audusd wait wait",1
"audusd takes drop",1
"patience audusd takes",1
"takes drop kaboom",1
"dailyfx lots talk",1
"lots talk eurusd",1
"session dailyfx lots",1
"talk eurusd usdjpy",1
