"",0
"push higher testing",1
"usdcad continued push",1
"big triggered h",1
"c f daily",1
"daily big triggered",1
"f daily big",1
"fully usdcad higher",1
"h plays fully",1
"plays fully usdcad",1
"triggered h plays",1
"break uptrend continu",1
"usdcad break uptrend",1
"add bellow parity",1
"bellow parity topped",1
"parity topped crude",1
"putting small usdcad",1
"short add bellow",1
"topped crude lift",1
"usdcad short add",1
"usdcad order cancel",1
"early warning http",1
"warning http t",1
"cad trades unchanged",1
"trades unchanged tuesday",1
"tuesday dailyfx usdcad",1
"unchanged tuesday dailyfx",1
"usdcad life trader",1
"analysis november oaks",1
"november oaks fx",1
"break expose support",1
"bullish resistance break",1
"expose support lies",1
"resistance break expose",1
"support lies ahead",1
"usdcad bullish resistance",1
"beli facebookerick pockererick",1
"biar bisa beli",1
"bisa beli facebookerick",1
"erick pocker updated",1
"facebookerick pockererick po",1
"meununggu usdcad runtuh",1
"pocker updated status",1
"runtuh biar bisa",1
"status meununggu usdcad",1
"updated status meununggu",1
"usdcad runtuh biar",1
"bullish engulfing candlestick",1
"classic yahoo finance",1
"engulfing candlestick pat",1
"finance prices put",1
"prices put bullish",1
"put bullish engulfing",1
"usdcad classic yahoo",1
"yahoo finance prices",1
"entry overnight usdcad",1
"expected price move",1
"long usdcad expected",1
"usdcad expected price",1
"add short nzdusd",1
"audusd pips pos",1
"long pips pos",1
"po size usdcad",1
"pos size ready",1
"pos size short",1
"ready add short",1
"short audusd pips",1
"short nzdusd pips",1
"size ready add",1
"size short audusd",1
"important upside resistance",1
"range important upside",1
"tighter range important",1
"friend res starts",1
"parity friend res",1
"res starts fib",1
"starts fib support",1
"eye good point",1
"place eye good",1
"audusd reduced euraud",1
"bought spx morning",1
"covered audusd reduced",1
"euraud turned usdcad",1
"morning covered audusd",1
"reduced euraud turned",1
"short risk bump",1
"spx morning covered",1
"turned usdcad short",1
"usdcad short risk",1
"call stop closer",1
"closer par dog",1
"dog targets stretch",1
"par dog targets",1
"stop closer par",1
"stretch target usdcad",1
"target usdcad call",1
"usdcad call stop",1
"buck cares mkt",1
"cares mkt red",1
"dx f buck",1
"f buck cares",1
"mkt red retrace",1
"quickly flat usdcad",1
"red retrace quickly",1
"retrace quickly flat",1
"h sma nic",1
"man usdcad tracking",1
"tracking h sma",1
"usdcad tracking h",1
"usdcad vault area",1
"bounce hr ema",1
"hr ema entri",1
"nice bounce hr",1
"showing nice bounce",1
"usdcad showing nice",1
"carry vault area",1
"closed usdcad half",1
"half pip worth",1
"pip worth carry",1
"usdcad half pip",1
"vault area position",1
"worth carry vault",1
"aud usd short",1
"eurcad long usdcad",1
"redteamgo aud usd",1
"usd short eurcad",1
"usdcad short eurusd",1
"usdcad vault coyote",1
"vault coyote dodged",1
"broken target usd",1
"price targets broken",1
"target usd buyers",1
"targets broken target",1
"usd buyers par",1
"usdcad price targets",1
"fxc usdcad reversed",1
"laser sheet holes",1
"reversed vault laser",1
"usdcad reversed vault",1
"vault laser sheet",1
"sold usdcad sl",1
"bets long qqq",1
"ca hedged usdcad",1
"gonna hedge bets",1
"hedge bets long",1
"long qqq zqq",1
"qqq zqq ca",1
"zqq ca hedged",1
"clave ser scotiabank",1
"flash usdcad nivel",1
"nivel clave ser",1
"usdcad nivel clave",1
"flash usdcad key",1
"crude contract drop",1
"hear traders long",1
"higher starting hear",1
"jan crude contract",1
"long jan crude",1
"refuse higher starting",1
"starting hear traders",1
"traders long jan",1
"usdcad refuse higher",1
"leading diagonal suggest",1
"usdcad leading diagonal",1
"bought usdcad sl",1
"fading original target",1
"form tops persistent",1
"likes form tops",1
"original target video",1
"persistent time fading",1
"target video updated",1
"time fading original",1
"tops persistent time",1
"usdcad likes form",1
"check profile trader",1
"contest shorts eurcad",1
"profile trader contest",1
"shorts eurcad usdcad",1
"trader contest shorts",1
"bang laguny jd",1
"d usdcad stay",1
"jd soundtrack para",1
"laguny jd soundtrack",1
"para trader d",1
"soundtrack para trader",1
"trader d usdcad",1
"government report forexlive",1
"jpy tiny tokyo",1
"open pessimistic government",1
"pessimistic government report",1
"report forexlive blog",1
"tiny tokyo open",1
"tokyo open pessimistic",1
"usd jpy tiny",1
"average position size",1
"cost average position",1
"long cost average",1
"size pips break",1
"usdcad long cost",1
"zone break momo",1
"fighting resistance usdcad",1
"long stop revised",1
"usdcad long stop",1
"swings important resist",1
"usdcad wild swings",1
"wild swings important",1
"canadian morning action",1
"canadian morning usdcad",1
"choice usdcad short",1
"extreme pressure mid",1
"long term reversal",1
"mid long term",1
"pressure mid long",1
"reversal choice usdcad",1
"term reversal choice",1
"usd extreme pressure",1
"usdcad consolidating parity",1
"px closing neckline",1
"shorted usdcad px",1
"usdcad px closing",1
"cadchf positive usdcad",1
"downside esp eurcad",1
"esp eurcad presents",1
"eurcad downside esp",1
"eurcad presents pending",1
"positive usdcad eurcad",1
"presents pending trigg",1
"usdcad eurcad downside",1
"short usdcad riskfree",1
"back parity usdcad",1
"cad technicals back",1
"technicals back parity",1
"usdcad trades parity",1
"forecast analysis novebmber",1
"dancing gc f",1
"eurusd traded posts",1
"gc f usdcad",1
"posts dancing gc",1
"traded posts dancing",1
"angry enter small",1
"enter small retrace",1
"small retrace long",1
"usdcad angry enter",1
"closed usdcad p",1
"p pos gold",1
"pos gold short",1
"usdcad p pos",1
"nice break resist",1
"usdcad nice break",1
"break hold momo",1
"zone break hold",1
"long pips position",1
"position size break",1
"size break things",1
"holding parity party",1
"parity party heading",1
"party heading weekend",1
"usdcad holding parity",1
"usdcad ready reverse",1
"mid shooting star",1
"shooting star usdcad",1
"star usdcad h",1
"currency pair patient",1
"favorite currency pair",1
"hasn t failed",1
"pair patient hasn",1
"patient hasn t",1
"usdcad favorite currency",1
"breaks forexlive blog",1
"finally breaks forexlive",1
"add positions current",1
"audusd sell eurusd",1
"buy add positions",1
"current open audusd",1
"open audusd sell",1
"positions current trades",1
"sell eurusd sell",1
"sell usdcad buy",1
"usdcad buy add",1
"hope long overdue",1
"long overdue waiting",1
"overdue waiting weeks",1
"usdcad hope long",1
"wtf usdcad c",1
"closed loss pip",1
"position closed loss",1
"close week parity",1
"parity time august",1
"struggling close week",1
"usdcad struggling close",1
"week parity time",1
"ideal targets pullback",1
"usdcad ideal targets",1
"falling parity hitting",1
"hitting daily high",1
"parity hitting daily",1
"usdcad falling parity",1
"action past break",1
"attempts extremely disappointing",1
"break attempts extremely",1
"extremely disappointing flat",1
"past break attempts",1
"usdcad action past",1
"bearish pinbar usdcad",1
"massive bearish pinbar",1
"pinbar usdcad bearish",1
"crude good weekend",1
"good weekend meliia",1
"https t odz",1
"ke p watch",1
"odz ke p",1
"p watch crude",1
"t odz ke",1
"watch crude good",1
"weekend meliia crew",1
"weekly usdcad https",1
"shorted usdcad carry",1
"usdcad carry weekend",1
"big fibo retracement",1
"breaks dxy touched",1
"dxy touched big",1
"fibo retracement usdcad",1
"finally breaks dxy",1
"touched big fibo",1
"inflation dailyfx usdcad",1
"slowing inflation dailyfx",1
"slowing inflation usdcad",1
"daily bearish divergence",1
"usdcad daily bearish",1
"cable sell kiwi",1
"gbpjpy sell cable",1
"hong kong indexes",1
"kiwi buy usdcad",1
"kong indexes nov",1
"oz hong kong",1
"sell cable sell",1
"sell gbpjpy sell",1
"sell kiwi buy",1
"sell oz hong",1
"usdcad sell oz",1
"week sell gbpjpy",1
"channel daily remains",1
"daily remains uptrend",1
"november usdcad stays",1
"price channel daily",1
"stays upward price",1
"upward price channel",1
"americas loonie thrown",1
"fx americas loonie",1
"government lifeline usdcad",1
"loonie thrown government",1
"thrown government lifeline",1
"cad fall inside",1
"rising wedge forexrazor",1
"usd cad fall",1
"wedge forexrazor usdcad",1
"fxstreetreports usdcad fall",1
"back late didnt",1
"didnt half usdcad",1
"half usdcad dropping",1
"late didnt half",1
"usdcad dropping bit",1
"figure stopped lock",1
"lock pips profit",1
"raising stop usdcad",1
"stop usdcad figure",1
"stopped lock pips",1
"usdcad figure stopped",1
"based h pb",1
"short usdcad based",1
"usdcad based h",1
"cad testing parity",1
"crude prices usdcad",1
"important holiday week",1
"range usdcad remain",1
"rangebound week important",1
"remain rangebound week",1
"usdcad range usdcad",1
"usdcad remain rangebound",1
"week important holiday",1
"continues fluctuate parity",1
"potential week usdcad",1
"usdcad continues fluctuate",1
"week usdcad continues",1
"usdcad testing parity",1
"market pivotal broader",1
"pivotal broader range",1
"ready downward thrust",1
"usdcad ready downward",1
"bearish oanda blog",1
"hints bearish oanda",1
"atm cad crosses",1
"crosses usdcad leading",1
"currency atm cad",1
"fave currency atm",1
"leading bear charg",1
"usdcad leading bear",1
"approaching fib corrective",1
"bounces daily fib",1
"corrective target h",1
"daily fib line",1
"fib corrective target",1
"fib line primary",1
"h bounces daily",1
"line primary view",1
"target h bounces",1
"usdcad approaching fib",1
"f xauusd dax",1
"hg f xauusd",1
"drawers water working",1
"water working long",1
"working long xma",1
"shift usdcad short",1
"trend shift usdcad",1
"usdcad short dailyfx",1
"lows stronger oil",1
"oil prices pros",1
"prices pros usdcad",1
"session lows stronger",1
"stronger oil prices",1
"cad strength usdcad",1
"gbpcad hit week",1
"hit week lows",1
"lows north american",1
"signs cad strength",1
"stevesview signs cad",1
"strength usdcad gbpcad",1
"usdcad gbpcad hit",1
"week lows north",1
"minor moderate strong",1
"moderate strong support",1
"resistance minor moderate",1
"commodity currencies upswing",1
"currencies upswing forexlive",1
"upswing forexlive blog",1
"bonus morning dont",1
"morning dont wait",1
"usdcad bonus morning",1
"approach size specifi",1
"bids approach size",1
"black box funds",1
"box funds tripped",1
"funds tripped lt",1
"layer bids approach",1
"lt layer bids",1
"stops black box",1
"tripped lt layer",1
"usdcad stops black",1
"audusd usdcad long",1
"current positioning eurusd",1
"eurusd short tp",1
"gbpusd short tp",1
"positioning eurusd short",1
"short tp audusd",1
"short tp gbpusd",1
"tp audusd usdcad",1
"tp gbpusd short",1
"usdcad long tp",1
"anticipated strength hitting",1
"faster anticipated strength",1
"moving faster anticipated",1
"strength hitting early",1
"usdcad moving faster",1
"usdcad add trigg",1
"gold silver usdcad",1
"silver usdcad movers",1
"usdcad technicals doji",1
"close invalidates bullish",1
"invalidates bullish bias",1
"bear outlook rise",1
"eurjpy usdcad mention",1
"outlook rise eurjpy",1
"rise eurjpy usdcad",1
"twittering bear outlook",1
"usdcad mention wel",1
"closing eurusd longs",1
"eurusd longs keeping",1
"keeping usdcad long",1
"long triggered trades",1
"longs keeping usdcad",1
"trades loonie b",1
"triggered trades loonie",1
"tradingfloorcom usdcad turkeytime",1
"cad falls low",1
"positive sentiment nasdaq",1
"sentiment nasdaq usdcad",1
"closed usdcad lot",1
"lot size pips",1
"shorted usdcad lot",1
"free excel spreadsheet",1
"historical volatility update",1
"update free excel",1
"usdcad historical volatility",1
"volatility update free",1
"broader bullish bias",1
"close invalidates broader",1
"invalidates broader bullish",1
"closed sell harmonie",1
"sell harmonie pamm",1
"buy usdcad con",1
"usdcad con ratio",1
"bullish stochastic divergence",1
"h bullish stochastic",1
"usdcad h bullish",1
"fxstreetreports hasn t",1
"fundamental report hasn",1
"report hasn t",1
"high barrier retrace",1
"scalp update term",1
"targets high barrier",1
"term targets high",1
"update term targets",1
"showing reversal pattern",1
"usdcad showing reversal",1
"bulls term usdcad",1
"cad bulls term",1
"parity shake usd",1
"shake usd cad",1
"usd cad bulls",1
"cancelled open buy",1
"open buy usdcad",1
"usdcad support fib",1
"corretive target fib",1
"expect market turn",1
"fib expect market",1
"higher corrective sw",1
"reached corretive target",1
"target fib expect",1
"usdcad reached corretive",1
"support lies fib",1
"usdcad support lies",1
"corrective target fib",1
"fib turn higher",1
"higher corrective swing",1
"reached corrective target",1
"target fib turn",1
"usdcad reached corrective",1
"enthusiasm stalled leaving",1
"investors enthusiasm stalled",1
"losses investors enthusiasm",1
"pip losses investors",1
"recovering pip losses",1
"stalled leaving sentiment",1
"usdcad recovering pip",1
"inplay weekly outlook",1
"weekly outlook nzdusd",1
"long usdjpy long",1
"aware enter trades",1
"dummit aware enter",1
"enter trades open",1
"euro finmin dummit",1
"finmin dummit aware",1
"trades open usdcad",1
"change overnight positions",1
"drive change overnight",1
"fx drive change",1
"longs usdcad pips",1
"overnight positions longs",1
"pips usdchf pips",1
"positions longs usdcad",1
"usdcad pips usdchf",1
"action gave huge",1
"candlesticks ago signaling",1
"gave huge pinbar",1
"gmt price action",1
"h gmt price",1
"huge pinbar candlesticks",1
"pinbar candlesticks ago",1
"price action gave",1
"h bear flag",1
"usdcad h bear",1
"appetite continue buying",1
"barcap volumes usdcad",1
"continue buying cad",1
"increasing investors show",1
"investors show appetite",1
"show appetite continue",1
"usdcad increasing investors",1
"volumes usdcad increasing",1
"tradingfloorcom outrageous prediction",1
"audchf waiting buy",1
"buy sl patience",1
"eurusd usdchf usdcad",1
"nzdchf audchf waiting",1
"positions eurusd usdchf",1
"sl patience pays",1
"usdcad nzdchf audchf",1
"usdchf usdcad nzdchf",1
"waiting buy sl",1
"sellin usdcad hr",1
"usdcad hr scalp",1
"afernoon traders audchf",1
"audchf short free",1
"couple pips usdcad",1
"free couple pips",1
"free waiting nzdchf",1
"gm afernoon traders",1
"nzdchf free couple",1
"pips usdcad acting",1
"short free waiting",1
"traders audchf short",1
"usdcad acting usdchf",1
"waiting nzdchf free",1
"approaching bullish trend",1
"line support free",1
"trend line support",1
"usdcad approaching bullish",1
"support td usdcad",1
"b lgesinde biraz",1
"biraz k r",1
"flash usdcad b",1
"k r lgan",1
"lgan td securities",1
"lgesinde biraz k",1
"r lgan td",1
"parity shake usdcad",1
"shake usdcad bulls",1
"usdcad bulls term",1
"flash usdcad vulnerable",1
"usdcad vulnerable support",1
"entry positions hours",1
"hours session open",1
"long entry positions",1
"open rule practice",1
"positions hours session",1
"rule practice discipline",1
"session open rule",1
"stop pips enter",1
"stopped trailing stop",1
"trailing stop pips",1
"usdcad stopped trailing",1
"post usdcad top",1
"free usdchf usdcad",1
"nzdchf free usdchf",1
"usdchf usdcad gonna",1
"fxstreetreports usdcad top",1
"usdcad bounce breakdown",1
"audusd hg f",1
"f tnx cl",1
"tnx cl f",1
"usdcad audusd hg",1
"article eurusd gbpusd",1
"read article eurusd",1
"thanksgiving read article",1
"fxstreetreports usdcad back",1
"cad changed u",1
"changed u housing",1
"housing data pros",1
"u housing data",1
"cad back parity",1
"false breakout action",1
"aapl reducing long",1
"bit aapl reducing",1
"core positions unch",1
"holding usdcad short",1
"long holding usdcad",1
"reducing long holding",1
"short core positions",1
"thinning bit aapl",1
"usdcad short core",1
"canadian strength usdcad",1
"flag prevent canadian",1
"prevent canadian strength",1
"red flag prevent",1
"news flat pending",1
"key resistance international",1
"resistance international business",1
"hit sl making",1
"making run parity",1
"sell webinar hit",1
"sl making run",1
"usdcad sell webinar",1
"usdcad persistence explained",1
"cad pip move",1
"exploration symmetrical triangle",1
"strategy usd cad",1
"symmetrical triangle strategy",1
"triangle strategy usd",1
"usd cad pip",1
"usdcad exploration symmetrical",1
"counter trend view",1
"required leading diagonal",1
"trend view required",1
"view required leading",1
"advancing fellow neighbor",1
"fellow neighbor tuesday",1
"greenback advancing fellow",1
"highs greenback advancing",1
"session highs greenback",1
"audusd nzdusd enter",1
"buy sell orders",1
"enter key support",1
"key support resistance",1
"nzdusd enter key",1
"orders usdcad usdchf",1
"sell orders usdcad",1
"usdcad usdchf audusd",1
"usdchf audusd nzdusd",1
"rise selling pressure",1
"selling pressure barclays",1
"usdcad vols rise",1
"vols rise selling",1
"system setting video",1
"called loonie ha",1
"usdcad called loonie",1
"es f audusd",1
"eurusd usdcad es",1
"canadian lower morning",1
"acme fake lower",1
"dice acme fake",1
"fake lower higher",1
"slice dice acme",1
"thought usdcad slice",1
"usdcad slice dice",1
"barely touch par",1
"good barely touch",1
"usdcad good barely",1
"d bearish divergence",1
"focus usdcad d",1
"usdcad d bearish",1
"aaafx usdcad pips",1
"closed sell aaafx",1
"sell aaafx usdcad",1
"analysis visit detailed",1
"visit detailed br",1
"cad technicals resistance",1
"resistance holding usdcad",1
"clients posted skype",1
"eurusd dax usdcad",1
"mailed clients posted",1
"posted skype room",1
"room eurusd dax",1
"skype room eurusd",1
"points setting video",1
"point setting video",1
"update usdcad top",1
"dax hardest market",1
"easiest market planet",1
"hardest market planet",1
"market planet dax",1
"market planet usdcad",1
"planet dax hardest",1
"cad erases gains",1
"erases gains usdcad",1
"efface ses gains",1
"usdcad efface ses",1
"action pairs night",1
"nice ping pong",1
"night free usdcad",1
"pairs night free",1
"ping pong action",1
"pong action pairs",1
"fxstreetreports usdcad technicals",1
"achat conditionnel stop",1
"conditionnel stop pip",1
"usdcad achat conditionnel",1
"fxstreetreports usdcad morning",1
"stop matt received",1
"bounce trend line",1
"daily move positive",1
"entry stop low",1
"line daily move",1
"long entry stop",1
"move positive territory",1
"positive territory long",1
"territory long entry",1
"usdcad bounce trend",1
"cad find support",1
"usd cad find",1
"drop usdcad quick",1
"slight drop usdcad",1
"usdcad quick scalp",1
"based belief consumer",1
"belief consumer spending",1
"bk recommending buy",1
"buy usdcad based",1
"consumer spending dropping",1
"recommending buy usdcad",1
"usdcad based belief",1
"afternoon long cable",1
"cable euraud short",1
"don t expect",1
"early morning don",1
"euraud short usdsek",1
"expect afternoon long",1
"long cable euraud",1
"morning don t",1
"short usdsek usdcad",1
"t expect afternoon",1
"fell october usdcad",1
"index fell october",1
"fell action usdcad",1
"index fell action",1
"buying usdcad channel",1
"decided making side",1
"dishes buying usdcad",1
"making side dishes",1
"side dishes buying",1
"usdcad channel bottom",1
"cross bullish min",1
"harami cross bullish",1
"good eurusd stupid",1
"long usdcad good",1
"usdcad good eurusd",1
"broken hold corrective",1
"expect broken hold",1
"h uptrend line",1
"hold corrective pullback",1
"line expect broken",1
"testing h uptrend",1
"uptrend line expect",1
"usdcad testing h",1
"ascertain movement pmi",1
"break tl ascertain",1
"clue interest r",1
"movement pmi provide",1
"pmi provide clue",1
"provide clue interest",1
"tl ascertain movement",1
"usdcad break tl",1
"long entry pips",1
"pending usdcad long",1
"declines week low",1
"low versus canadian",1
"u declines week",1
"usdcad u declines",1
"week low versus",1
"ahead canada retail",1
"mixed ahead canada",1
"inches canada retail",1
"loonie inches canada",1
"usdcad loonie inches",1
"american shopping canadians",1
"expected american shopping",1
"retail sales slower",1
"sales slower expected",1
"slower expected american",1
"usdcad retail sales",1
"cad jumps zone",1
"usd cad jumps",1
"zone data usdcad",1
"cad strength ready",1
"climbing cad strength",1
"great pop usdcad",1
"passing sma climbing",1
"pop usdcad passing",1
"ready bounce eurcad",1
"sma climbing cad",1
"strength ready bounce",1
"usdcad passing sma",1
"fxstreetnews usdcad jumps",1
"usdcad entering longs",1
"chat log details",1
"details eurjpy holding",1
"eurjpy holding short",1
"filled chat log",1
"holding short term",1
"log details eurjpy",1
"short term reversal",1
"term reversal pattern",1
"usdcad filled chat",1
"high weak canadian",1
"retail sales pros",1
"sales pros usdcad",1
"session high weak",1
"weak canadian retail",1
"break lower usdcad",1
"cad future positive",1
"future positive lookin",1
"lookin break lower",1
"positive lookin break",1
"ago starting behave",1
"hours ago starting",1
"long usdcad hours",1
"usdcad hours ago",1
"eyes audchf usdcad",1
"price report dailyfx",1
"report dailyfx usdcad",1
"bk canceled usdcad",1
"canceled usdcad thinking",1
"stay sunday week",1
"sunday week vous",1
"thinking stay sunday",1
"usdcad thinking stay",1
"correlation risk reward",1
"index strong strongest",1
"pair correlation risk",1
"reward index strong",1
"risk reward index",1
"strong strongest majors",1
"traders pair correlation",1
"usdcad traders pair",1
"breaks takes eurusd",1
"daily ugly breaks",1
"price trendline daily",1
"short usdcad price",1
"trendline daily ugly",1
"ugly breaks takes",1
"usdcad price trendline",1
"usdcad range bound",1
"babe talk tomorrow",1
"night babe talk",1
"talk tomorrow usdcad",1
"tomorrow usdcad vid",1
"usdcad vid xx",1
"enjoyed year usdcad",1
"usdcad sadly misplaced",1
"year usdcad sadly",1
"permanent sideways trend",1
"range years permanent",1
"usdcad years range",1
"years permanent sideways",1
"years range years",1
"continues find supportrising",1
"find supportrising h",1
"h trend line",1
"line slow moving",1
"moving market resistance",1
"slow moving market",1
"supportrising h trend",1
"trend line slow",1
"usdcad continues find",1
"hoping usdcad play",1
"locked range range",1
"range range trad",1
"usdcad locked range",1
"flash usdcad decent",1
"usdcad decent support",1
"fxstreetreports usdcad rebounds",1
"short sl pips",1
"sl pips tp",1
"usdcad short sl",1
"call usdcad month",1
"aggressively usdcad declin",1
"buy aggressively usdcad",1
"cad classic report",1
"classic report ssi",1
"crowds buy aggressively",1
"report ssi crowds",1
"ssi crowds buy",1
"usd cad classic",1
"term consolidation fan",1
"usdcad awaiting breakout",1
"cad trades canadian",1
"core cpi market",1
"cpi market moving",1
"dealers noting core",1
"market moving event",1
"noting core cpi",1
"usdcad dealers noting",1
"term consolidation usdcad",1
"sold usdcad target",1
"consolidation action usdcad",1
"term consolidation action",1
"bounce pitchfork lower",1
"long bounce pitchfork",1
"marekmarciniak long bounce",1
"pitchfork lower band",1
"usdcad marekmarciniak long",1
"finally moving range",1
"moving range eyeing",1
"usdcad finally moving",1
"cad colapses european",1
"european close usdcad",1
"usd cad colapses",1
"cad long usdcad",1
"taking cad long",1
"forming td usdcad",1
"closing nzdusd longs",1
"early net week",1
"longs reload early",1
"net week staying",1
"nzdusd longs reload",1
"reload early net",1
"short usdcad breakeven",1
"usdcad breakeven stops",1
"week staying short",1
"fxstreetnews usdcad colapses",1
"daily usdcad long",1
"long long versus",1
"long versus canadian",1
"versus canadian doll",1
"drawers water profitable",1
"profitable long xma",1
"water profitable long",1
"lots rur usdcad",1
"sell lots rur",1
"forming td nasdaq",1
"td nasdaq usdcad",1
"penultimate leg diagonal",1
"usdcad penultimate leg",1
"rising channel hr",1
"usdcad rising channel",1
"americas holiday eur",1
"eur opportunity advance",1
"fx americas holiday",1
"holiday eur opportunity",1
"opportunity advance usdcad",1
"annual survey canadian",1
"canadian fx strategy",1
"fx strategy canada",1
"released annual survey",1
"strategy canada real",1
"survey canadian fx",1
"downside nearmedium term",1
"nearmedium term scotiabank",1
"potential downside nearmedium",1
"scotiabank barcelona usd",1
"term scotiabank barcelona",1
"usd cad ha",1
"analysis contained support",1
"usdcad analysis contained",1
"forecast week november",1
"november analysis fx",1
"week november analysis",1
"breakdown range mentioned",1
"earlier usdcad m",1
"m sell stop",1
"mentioned earlier usdcad",1
"precious breakdown range",1
"range mentioned earlier",1
"sell stop triggered",1
"stop triggered gmt",1
"triggered gmt nov",1
"usdcad m sell",1
"canadian investors traders",1
"commentators follow usdcad",1
"follow usdcad cad",1
"investors traders markets",1
"markets commentators follow",1
"traders markets commentators",1
"outlook audusd usdcad",1
"snicky week outlook",1
"week outlook audusd",1
"bounces trendline support",1
"report usdcad bounces",1
"usdcad bounces trendline",1
"closeday gbpcad trailstop",1
"gbpcad trailstop trailafter",1
"trailafter closeday gbpcad",1
"trailafter closeday nexttweet",1
"usdcad trailstop trailafter",1
"loosing streak trades",1
"stopped trades loosing",1
"streak trades profit",1
"trades loosing streak",1
"usdcad stopped trades",1
"w ticket buy",1
"break recent range",1
"recent range week",1
"set break recent",1
"bearish momentum sentiment",1
"increasing bearish momentum",1
"momentum sentiment stay",1
"sentiment stay negative",1
"usdcad increasing bearish",1
"sell for stop",1
"usdcad sell for",1
"cool setups usdcad",1
"percent hours frid",1
"fxstreetnews usdcad opening",1
"causing long position",1
"declined hours fri",1
"fri causing long",1
"hours fri causing",1
"long position stopped",1
"model usdcad declined",1
"usdcad declined hours",1
"cad opening usdcad",1
"gas short coffee",1
"long nat gas",1
"loss long nat",1
"nat gas short",1
"short coffee orders",1
"small loss long",1
"bar consolidation short",1
"breaks energetic bar",1
"consolidation short h",1
"d breaks energetic",1
"energetic bar consolidation",1
"perching tl d",1
"short h h",1
"tl d breaks",1
"usdcad perching tl",1
"long confirmation needed",1
"usdcad long confirmation",1
"mise jour update",1
"usdcad usdjpy mise",1
"usdjpy mise jour",1
"usdcad pips mpext",1
"favorites week gbpusd",1
"gbpusd good chill",1
"guys rest usdcad",1
"nzdusd favorites week",1
"rest usdcad nzdusd",1
"usdcad nzdusd favorites",1
"week gbpusd good",1
"cad opening nasdaq",1
"opening nasdaq usdcad",1
"d eyes usdcad",1
"eyes usdcad good",1
"usdcad good opportunity",1
"long usdcad dumb",1
"audchf sweatin bullets",1
"bro weekend good",1
"bullets lol small",1
"good im long",1
"hey bro weekend",1
"im long audchf",1
"lol small usdcad",1
"long audchf sweatin",1
"sweatin bullets lol",1
"weekend good im",1
"cad short term",1
"channel trendlines support",1
"short term bearish",1
"support channel trendlines",1
"support usd cad",1
"term bearish chan",1
"trendline support channel",1
"trendlines support usd",1
"usd cad short",1
"audcad eurcad es",1
"breaking image cad",1
"cad traders usdcad",1
"eurcad es f",1
"ground breaking image",1
"image cad traders",1
"traders usdcad audcad",1
"usdcad audcad eurcad",1
"edges higher focus",1
"focus remains greece",1
"greece pros usdcad",1
"higher focus remains",1
"remains greece pros",1
"cad technically constructive",1
"constructive bbh usdcad",1
"usd cad technically",1
"flash usdcad technically",1
"usdcad technically constructive",1
"fxstreetreports usdcad trendline",1
"combo members gbpusd",1
"gbpusd usdcad starting",1
"members gbpusd usdcad",1
"starting daily charts",1
